E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),Target_Log1o2,SMILES_Meta
-971.579054,-971.612476,-971.253583,-6.874929524,1.177627163,-12.77980034,8.856489881,0.909458951,4.882974416,-4.882974416,7.94703093,0.125832987,1.500136512,2.246272723,0.2079,0.1647,0.1465,-0.1227,0.7118,0.5638,0.5017,0.24701,0.46694,7.322219295,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O
-1686.254996,-1686.223769,-1685.943027,-6.579005698,2.772568145,-12.13497212,8.489136167,-0.849729958,3.819689499,-3.819689499,9.338866125,0.10707944,0.781157265,2.542196549,0.1809,0.1289,0.1381,-0.0857,0.5271,0.3757,0.4023,0.10071,0.45991,7.688289018,C1=C(C=C(C(=C1Cl)O)Cl)Cl
-306.483866,-306.391884,-306.134203,-7.133927498,4.729284507,-13.0440229,9.514787738,-2.50295773,3.505915004,-3.505915004,12.01774547,0.083210241,0.511383582,1.987274749,0.1919,0.1579,0.1749,-0.034,0.4345,0.3576,0.396,0.08076,0.3813,3.602059991,C=CCC(=O)O
-1233.280203,-1233.277798,-1232.962782,-6.811173246,1.630968857,-10.87181957,8.637492645,-0.065443384,4.286011025,-4.286011025,8.702936029,0.114903848,1.055393616,2.310029001,0.1391,0.0996,0.1178,-0.0589,0.4351,0.3115,0.3683,0.10516,0.32143,6.740362689,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl
-842.286049,-842.227409,-841.999008,-5.740895002,3.650162562,-11.87289926,7.810783519,-1.595675689,3.107540309,-3.107540309,9.40648642,0.106309762,0.51331559,3.380307245,0.1434,0.1348,0.1391,-0.0704,0.4149,0.3899,0.4024,0.06919,0.4848,7.230448921,C1=CC(=C(C=C1O)Cl)O
-234.659422,-234.544695,-234.337688,-6.349613712,5.306438009,-13.73557307,8.754828142,-3.12188071,2.816460111,-2.816460111,11.87670885,0.084198393,0.333965343,2.771588535,0.1979,0.1786,0.1882,-0.0193,0.4534,0.4092,0.4313,0.05964,0.54849,4.431363764,C1CCC=CC1
-1383.750347,-1383.725143,-1383.4724,-6.078016866,2.196040504,-9.881978184,7.563323173,-0.685835779,3.438730091,-3.438730091,8.249158952,0.121224658,0.716747914,3.043185381,0.0833,0.072,0.0652,-0.0618,0.2748,0.2374,0.2149,0.05159,0.25354,8.190331698,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC
-548.77755,-548.704426,-548.481794,-5.983974315,3.957297479,-11.55847169,8.047930751,-1.989805408,3.029062671,-3.029062671,10.03773616,0.099624105,0.457042443,3.137227932,0.1255,0.1508,0.1013,-0.0865,0.3403,0.4089,0.2745,0.06893,0.3938,7.785329835,C1=C(NC=N1)C[C@@H](C(=O)O)N
-269.350127,-269.246129,-269.049442,-5.802447158,5.080012064,-13.22133229,8.182055673,-2.829929747,2.676076569,-2.676076569,11.01201263,0.090809964,0.325148854,3.318755089,0.1797,0.1566,0.1682,-0.0248,0.4442,0.3869,0.4155,0.05091,0.59653,7.77815125,CC1=CC=CO1
-867.067422,-866.988071,-866.803123,-5.477298303,3.868724417,-9.458051997,7.191914962,-2.159223499,2.516345732,-2.516345732,9.351138461,0.10693869,0.338564068,3.643903944,0.0847,0.1169,0.086,-0.0654,0.2465,0.3401,0.2501,0.03957,0.30862,7.0,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
-346.79615,-346.718101,-346.500805,-5.88612217,4.176893366,-12.10898525,8.036774082,-2.123821485,2.956462693,-2.956462693,10.16059557,0.098419536,0.430130382,3.235080077,0.1417,0.1212,0.1044,-0.0926,0.3794,0.3245,0.2796,0.05211,0.45836,7.255272505,CC1=CC(=CC=C1)O
-842.293913,-842.226997,-841.998782,-5.990532259,3.897976657,-12.04389561,8.030923634,-1.820849911,3.105036862,-3.105036862,9.851773545,0.101504494,0.489315147,3.130669988,0.1755,0.15,0.1422,-0.0666,0.4848,0.4142,0.3928,0.07338,0.54948,7.322219295,CC1=CC(=CC(=C1Cl)O)O
-1215.012041,-1214.990864,-1214.726301,-6.19842725,2.145536171,-9.833215379,7.775354295,-0.576255527,3.599549384,-3.599549384,8.351609821,0.119737266,0.775714988,2.922774997,0.0958,0.0799,0.0743,-0.0429,0.3121,0.2604,0.2421,0.062,0.27995,8.85672889,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
